year,sample_id,farm_name,producer_id,field_name,field_id,county,crop,longitude,latitude,texture,bd_g_cm3,pmn_lb_ac,nh4_n_mg_kg,no3_n_mg_kg,poxc_mg_kg,ph,ec_mmhos_cm,k_mg_kg,ca_mg_kg,mg_mg_kg,na_mg_kg,cec_meq_100g,b_mg_kg,cu_mg_kg,fe_mg_kg,mn_mg_kg,s_mg_kg,zn_mg_kg,total_c_percent,total_n_percent,ace_g_protein_kg_soil,sand_percent,silt_percent,clay_percent,min_c_96hr_mg_c_kg_day,p_olsen_mg_kg,wsa_percent,om_percent,toc_percent,whc_in_ft,inorganic_c_percent
2022,22-EHJ01-01,Farm 038,EHJ01,Field 01,1,County 8,Vegetable,-123,47,Loamy Sand,1.04,27.69,8.8,0.3,530,4.9,0.05,90,420,84.7,25.3,12.1,0.14,0.7,75,29.3,10.93,2.7,4.73,0.16,20.75,82,15,3,90,15,96.4,10.7,4.73,0.8,
2023,23-CKJ01-02,Farm 146,CKJ01,Field 02,2,County 15,Cereal Grain,-118,48,Silt Loam,1.11,50.11,28.3,22.3,291,5.4,0.57,647,1480,169.4,39.1,13.8,0.25,1.1,61,12.2,10.4,0.6,1.28,0.13,4.56,27,62,11,47.3,25,83.5,4,1.28,2.24,
2023,23-VQC06-01,Farm 178,VQC06,Field 01,1,County 14,"Pasture, Seeded",-118,47,Loam,1.3,36.77,4.1,4.1,270,6.6,0.29,440,2160,435.6,29.9,14.7,0.31,0.9,49,6.6,3.24,0.9,1.28,0.12,4.28,42,44,14,23.6,12,88.2,2.5,1.28,1.75,
2022,22-LJP05-01,Farm 077,LJP05,Field 01,1,County 17,Fallow,-118,48,Sandy Loam,1.3,0.35,4.5,1.3,147,5.6,0.36,122,400,36.3,13.8,6.3,0.06,0.2,16,1.8,6.7,0.2,0.91,0.07,6.7,70,25,5,51,17,82,1.8,0.91,1.09,
2022,22-IOX04-02,Farm 060,IOX04,Field 02,2,County 13,Herb,-121,46,Clay Loam,1.13,245.95,12.2,57.2,639,7.4,2.94,1179,3860,1076.9,207,17.7,1.06,1.5,24,7.5,135.28,3,2.13,0.2,2.47,27,46,27,25.5,127,95.7,4.2,1.96,1.88,0.17
2022,22-ZPJ03-04,Farm 013,ZPJ03,Field 04,4,County 3,Vegetable,-119,47,Sandy Loam,1.02,12.18,4.4,11.9,278,6.1,0.83,290,1540,242,34.5,9.1,0.31,1.2,24,3.3,24.21,1.7,0.6,0.07,4.82,54,38,8,11.3,21,80.1,1.3,0.6,1.5,
2022,22-GWT01-09,Farm 014,GWT01,Field 09,9,County 4,Vegetable,-123,48,Clay Loam,0.61,1.17,10.3,64.5,597,5.7,1.53,247,1900,350.9,32.2,13.9,0.45,1.1,199,7.9,21.3,10.5,3.7,0.33,9.26,30,42,28,72,57,91.6,7.2,3.7,1.8,
2023,23-KCC03-01,Farm 152,KCC03,Field 01,1,County 10,"Pasture, Seeded",-117,48,Loam,1.07,95.86,6.2,6.2,415,6.2,0.26,384,1140,96.8,20.7,9.7,0.21,0.4,50,3.2,4.56,0.6,1.88,0.15,5.17,50,42,8,57.7,63,88.8,3.4,1.88,1.62,
2022,22-VTR04-02,Farm 045,VTR04,Field 02,2,County 10,Hay/Silage,-117,48,Silt Loam,1.11,85.63,4.3,3.2,592,5.6,0.6,70,2040,508.2,66.7,17.6,0.25,2.2,303,7.1,13.18,2.2,2.19,0.2,4,12,65,23,11.8,15,89.1,3.9,2.19,2.33,
2023,23-TDP05-03,Farm 144,TDP05,Field 03,3,County 15,Oilseed,-119,48,Silt Loam,1.24,79.22,3.8,12.9,217,7.3,0.65,400,1460,314.6,287.5,11.9,0.33,0.9,17,3,5.72,1.8,0.97,0.12,4.08,21,67,12,27.5,11,93.2,2.1,0.94,2.39,0.03
2023,23-OLV08-01,Farm 123,OLV08,Field 01,1,County 21,Native Land,-119,49,Sandy Loam,1.14,273.62,3,17.4,826,6.3,0.47,270,2760,399.3,16.1,16.4,0.38,0.6,62,3.3,4.82,1.5,4.83,0.38,6.7,68,26,6,85.7,11,89.3,6.9,4.83,1.14,
2022,22-QCJ09-03,Farm 035,QCJ09,Field 03,3,County 8,"Pasture, Seeded",-123,47,Loam,1.18,180.7,26.8,8.2,397,5.4,0.47,123,600,84.7,25.3,12.2,0.15,0.7,81,16.8,16.57,0.9,3.22,0.17,10.02,44,42,14,97.5,56,96.8,5.7,3.22,1.7,
2022,22-UPD03-01,Farm 070,UPD03,Field 01,1,County 14,Vegetable,-117,47,Silt Loam,1.24,136.74,9.2,9,340,6.7,0.88,340,3060,411.4,18.4,17,0.3,1.6,57,10,9.86,0.9,1.91,0.15,5.75,17,61,22,30.6,37,89.8,3.5,1.91,2.23,
2023,23-NOK04-03,Farm 181,NOK04,Field 03,3,County 13,Orchard,-120,46,Silt Loam,1.22,97.34,5.1,2.3,364,7.8,0.42,147,3920,375.1,34.5,14.9,0.32,15.4,26,3.9,6.96,26.4,1.17,0.12,1.94,29,62,9,50.1,10,86.9,2.4,0.93,2.22,0.24
2022,22-LJP05-03,Farm 077,LJP05,Field 03,3,County 17,"Pasture, Seeded",-118,48,Sandy Loam,1.33,33.34,5.5,0.5,235,5.8,0.39,88,760,133.1,39.1,7.4,0.12,0.5,70,5.5,1.07,0.6,1.03,0.09,10,66,26,8,65.3,11,96.3,2.1,1.03,1.17,
