year,dummy,category,sampleLabel,sampleId,farmName,producerName,producerId,fieldName,fieldId,county,crop,texture,longitude,latitude,measurement,value,measurement_group,order,measurement_full_name,abbr,unit,abbr_unit
2023,dummy,Other fields,Result:,23-UVF07-03,Farm 121,Adolfo,UVF07,Field 03,3,County 21,Fallow,Sandy Loam,-118,49,silt_%,30,physical,2,Silt,Silt,%,Silt <br>(%)
2022,dummy,Other fields,Result:,22-SWA09-01,Farm 104,Aamir,SWA09,Field 01,1,County 14,Fallow,Silt Loam,-117,47,silt_%,60,physical,2,Silt,Silt,%,Silt <br>(%)
2023,dummy,Other fields,Result:,23-VXE09-01,Farm 143,Karla,VXE09,Field 01,1,County 15,Fallow,Silt Loam,-119,48,silt_%,64,physical,2,Silt,Silt,%,Silt <br>(%)
2023,dummy,Other fields,Result:,23-XXY09-01,Farm 117,Jo,XXY09,Field 01,1,County 20,Fallow,Clay Loam,-123,46,silt_%,40,physical,2,Silt,Silt,%,Silt <br>(%)
2022,dummy,Other fields,Result:,22-EUB06-01,Farm 059,Andrew,EUB06,Field 01,1,County 12,Herb,Loam,-120,46,silt_%,44,physical,2,Silt,Silt,%,Silt <br>(%)
2022,dummy,Other fields,Result:,22-IOX04-04,Farm 060,Alisa,IOX04,Field 04,4,County 13,Herb,Clay Loam,-121,46,silt_%,45,physical,2,Silt,Silt,%,Silt <br>(%)
2022,dummy,Other fields,Result:,22-IDX04-01,Farm 033,Henry,IDX04,Field 01,1,County 8,Orchard,Silt Loam,-123,47,silt_%,50,physical,2,Silt,Silt,%,Silt <br>(%)
2022,dummy,Other fields,Result:,22-BOA05-05,Farm 012,Mufeed,BOA05,Field 05,5,County 2,CRP/Conservation,Sandy Loam,-120,48,silt_%,37,physical,2,Silt,Silt,%,Silt <br>(%)
2022,dummy,Other fields,Result:,22-CKY09-01,Farm 020,Sky,CKY09,Field 01,1,County 5,Fallow,Sandy Loam,-122,48,silt_%,20,physical,2,Silt,Silt,%,Silt <br>(%)
2022,dummy,Other fields,Result:,22-AUL06-02,Farm 005,Qamraaa,AUL06,Field 02,2,County 1,Orchard,Clay Loam,-122,46,silt_%,40,physical,2,Silt,Silt,%,Silt <br>(%)
2022,dummy,Other fields,Result:,22-XAA04-01,Farm 065,Michael,XAA04,Field 01,1,County 16,Vegetable,Silt Loam,-117,47,silt_%,57,physical,2,Silt,Silt,%,Silt <br>(%)
2022,dummy,Other fields,Result:,22-RUX09-02,Farm 092,Nika,RUX09,Field 02,2,County 19,CRP/Conservation,Sandy Loam,-122,49,silt_%,31,physical,2,Silt,Silt,%,Silt <br>(%)
2022,dummy,Other fields,Result:,22-IOX04-06,Farm 060,Alisa,IOX04,Field 06,6,County 13,Herb,Silt Loam,-121,46,silt_%,50,physical,2,Silt,Silt,%,Silt <br>(%)
2022,dummy,Other fields,Result:,22-KQD07-01,Farm 064,Callie,KQD07,Field 01,1,County 15,Vegetable,Silt Loam,-118,47,silt_%,54,physical,2,Silt,Silt,%,Silt <br>(%)
2022,dummy,Other fields,Result:,22-AYH08-03,Farm 069,Maariya,AYH08,Field 03,3,County 14,Vegetable,Silt Loam,-117,47,silt_%,62,physical,2,Silt,Silt,%,Silt <br>(%)
2023,dummy,Other fields,Result:,23-PJP06-03,Farm 164,Marcel,PJP06,Field 03,3,County 24,Fallow,Silt Loam,-118,46,silt_%,63,physical,2,Silt,Silt,%,Silt <br>(%)
2022,dummy,Other fields,Result:,22-NCF09-04,Farm 003,Bryan,NCF09,Field 04,4,County 1,Orchard,Silt Loam,-123,46,silt_%,74,physical,2,Silt,Silt,%,Silt <br>(%)
2022,dummy,Other fields,Result:,22-CAW02-01,Farm 073,Zachary,CAW02,Field 01,1,County 16,Vegetable,Loam,-117,48,silt_%,42,physical,2,Silt,Silt,%,Silt <br>(%)
2022,dummy,Other fields,Result:,22-ECZ09-01,Farm 040,Katherine,ECZ09,Field 01,1,County 8,Vegetable,Sandy Loam,-123,47,silt_%,33,physical,2,Silt,Silt,%,Silt <br>(%)
2023,dummy,Other fields,Result:,23-XXY09-02,Farm 117,Jo,XXY09,Field 02,2,County 20,Fallow,Sandy Loam,-123,46,silt_%,21,physical,2,Silt,Silt,%,Silt <br>(%)
2023,dummy,Other fields,Result:,23-UGI08-04,Farm 105,Mutasim,UGI08,Field 04,4,County 14,Cereal Grain,Sandy Clay Loam,-117,47,silt_%,16,physical,2,Silt,Silt,%,Silt <br>(%)
2022,dummy,Other fields,Result:,22-GWT01-06,Farm 014,Coramarie,GWT01,Field 06,6,County 4,Orchard,Clay,-123,48,silt_%,36,physical,2,Silt,Silt,%,Silt <br>(%)
2023,dummy,Other fields,Result:,23-IOA02-02,Farm 166,Aaron,IOA02,Field 02,2,County 19,Berry,Silt Loam,-122,49,silt_%,57,physical,2,Silt,Silt,%,Silt <br>(%)
2023,dummy,Other fields,Result:,23-AWK04-02,Farm 138,Muthanna,AWK04,Field 02,2,County 7,Cereal Grain,Loam,-123,47,silt_%,40,physical,2,Silt,Silt,%,Silt <br>(%)
2022,dummy,Other fields,Result:,22-REY04-04,Farm 062,Thaamir,REY04,Field 04,4,County 13,Herb,Loam,-120,46,silt_%,43,physical,2,Silt,Silt,%,Silt <br>(%)
2022,dummy,Other fields,Result:,22-TKY01-01,Farm 019,Hayden,TKY01,Field 01,1,County 4,Seed,Sandy Loam,-123,48,silt_%,30,physical,2,Silt,Silt,%,Silt <br>(%)
2023,dummy,Other fields,Result:,23-CLA01-01,Farm 174,Joaquin,CLA01,Field 01,1,County 14,Vegetable,Loam,-118,47,silt_%,44,physical,2,Silt,Silt,%,Silt <br>(%)
2022,dummy,Other fields,Result:,22-KPB08-02,Farm 025,Sadyan,KPB08,Field 02,2,County 6,Native Land,Loam,-121,46,silt_%,39,physical,2,Silt,Silt,%,Silt <br>(%)
2022,dummy,Other fields,Result:,22-TNM05-01,Farm 001,Sahar,TNM05,Field 01,1,County 1,Vegetable,Clay Loam,-122,46,silt_%,36,physical,2,Silt,Silt,%,Silt <br>(%)
2023,dummy,Other fields,Result:,23-XMT07-02,Farm 109,Amal,XMT07,Field 02,2,County 14,CRP/Conservation,Loam,-117,47,silt_%,44,physical,2,Silt,Silt,%,Silt <br>(%)
2022,dummy,Other fields,Result:,22-EHJ01-01,Farm 038,Aileen,EHJ01,Field 01,1,County 8,Vegetable,Loamy Sand,-123,47,silt_%,15,physical,2,Silt,Silt,%,Silt <br>(%)
2023,dummy,Other fields,Result:,23-CKJ01-02,Farm 146,Dylan,CKJ01,Field 02,2,County 15,Cereal Grain,Silt Loam,-118,48,silt_%,62,physical,2,Silt,Silt,%,Silt <br>(%)
2022,dummy,Other fields,Result:,22-LJP05-01,Farm 077,Fernando,LJP05,Field 01,1,County 17,Fallow,Sandy Loam,-118,48,silt_%,25,physical,2,Silt,Silt,%,Silt <br>(%)
2022,dummy,Other fields,Result:,22-IOX04-02,Farm 060,Alisa,IOX04,Field 02,2,County 13,Herb,Clay Loam,-121,46,silt_%,46,physical,2,Silt,Silt,%,Silt <br>(%)
2022,dummy,Other fields,Result:,22-ZPJ03-04,Farm 013,Timmie,ZPJ03,Field 04,4,County 3,Vegetable,Sandy Loam,-119,47,silt_%,38,physical,2,Silt,Silt,%,Silt <br>(%)
2022,dummy,Other fields,Result:,22-GWT01-09,Farm 014,Coramarie,GWT01,Field 09,9,County 4,Vegetable,Clay Loam,-123,48,silt_%,42,physical,2,Silt,Silt,%,Silt <br>(%)
2023,dummy,Other fields,Result:,23-TDP05-03,Farm 144,Bradley,TDP05,Field 03,3,County 15,Oilseed,Silt Loam,-119,48,silt_%,67,physical,2,Silt,Silt,%,Silt <br>(%)
2023,dummy,Other fields,Result:,23-OLV08-01,Farm 123,Chelsea,OLV08,Field 01,1,County 21,Native Land,Sandy Loam,-119,49,silt_%,26,physical,2,Silt,Silt,%,Silt <br>(%)
2022,dummy,Other fields,Result:,22-UPD03-01,Farm 070,Faith,UPD03,Field 01,1,County 14,Vegetable,Silt Loam,-117,47,silt_%,61,physical,2,Silt,Silt,%,Silt <br>(%)
2023,dummy,Other fields,Result:,23-NOK04-03,Farm 181,Neil,NOK04,Field 03,3,County 13,Orchard,Silt Loam,-120,46,silt_%,62,physical,2,Silt,Silt,%,Silt <br>(%)
2023,dummy,Same county,County 9<br>Cereal Grain<br>Result:,23-DJU01-03,Farm 148,Raashid,DJU01,Field 03,3,County 9,Cereal Grain,Loamy Sand,-120,48,silt_%,10,physical,2,Silt,Silt,%,Silt <br>(%)
2022,dummy,Same crop,"County 11<br>Pasture, Seeded<br>Result:",22-XSL07-03,Farm 054,Rocky,XSL07,Field 03,3,County 11,"Pasture, Seeded",Silt Loam,-122,47,silt_%,73,physical,2,Silt,Silt,%,Silt <br>(%)
2022,dummy,Same crop,"County 19<br>Pasture, Seeded<br>Result:",22-RUX09-01,Farm 092,Nika,RUX09,Field 01,1,County 19,"Pasture, Seeded",Sandy Loam,-122,49,silt_%,33,physical,2,Silt,Silt,%,Silt <br>(%)
2022,dummy,Same crop,County 17<br>Hay/Silage<br>Result:,22-YTV03-01,Farm 079,Marissa,YTV03,Field 01,1,County 17,Hay/Silage,Loam,-118,49,silt_%,44,physical,2,Silt,Silt,%,Silt <br>(%)
2022,dummy,Same crop,County 17<br>Hay/Silage<br>Result:,22-GRX07-01,Farm 080,Cheyanne,GRX07,Field 01,1,County 17,Hay/Silage,Silt Loam,-118,48,silt_%,67,physical,2,Silt,Silt,%,Silt <br>(%)
2023,dummy,Same crop,County 10<br>Hay/Silage<br>Result:,23-GUZ01-04,Farm 046,Mariah,GUZ01,Field 04,4,County 10,Hay/Silage,Clay,-117,48,silt_%,36,physical,2,Silt,Silt,%,Silt <br>(%)
2023,dummy,Same crop,"County 20<br>Pasture, Seeded<br>Result:",23-NIL06-01,Farm 119,Dylan,NIL06,Field 01,1,County 20,"Pasture, Seeded",Silt Loam,-123,46,silt_%,56,physical,2,Silt,Silt,%,Silt <br>(%)
2022,dummy,Same crop,County 6<br>Hay/Silage<br>Result:,22-YIH07-01,Farm 028,Dakota,YIH07,Field 01,1,County 6,Hay/Silage,Loam,-121,46,silt_%,39,physical,2,Silt,Silt,%,Silt <br>(%)
2023,dummy,Same crop,County 10<br>Hay/Silage<br>Result:,23-FFF03-03,Farm 153,Shaafi,FFF03,Field 03,3,County 10,Hay/Silage,Silty Clay Loam,-117,48,silt_%,48,physical,2,Silt,Silt,%,Silt <br>(%)
2023,dummy,Same crop,"County 9<br>Pasture, Seeded<br>Result:",23-JBQ09-03,Farm 151,Monique,JBQ09,Field 03,3,County 9,"Pasture, Seeded",Sandy Loam,-120,48,silt_%,18,physical,2,Silt,Silt,%,Silt <br>(%)
2023,dummy,Same crop,"County 10<br>Pasture, Seeded<br>Result:",23-KCC03-02,Farm 152,Alejandra,KCC03,Field 02,2,County 10,"Pasture, Seeded",Sandy Loam,-117,48,silt_%,34,physical,2,Silt,Silt,%,Silt <br>(%)
2022,dummy,Same crop,"County 18<br>Pasture, Seeded<br>Result:",22-JGU09-01,Farm 087,Kelsey,JGU09,Field 01,1,County 18,"Pasture, Seeded",Silt Loam,-123,47,silt_%,51,physical,2,Silt,Silt,%,Silt <br>(%)
2023,dummy,Same crop,County 22<br>Hay/Silage<br>Result:,23-KVP07-01,Farm 127,Jessica,KVP07,Field 01,1,County 22,Hay/Silage,Sandy Loam,-120,47,silt_%,24,physical,2,Silt,Silt,%,Silt <br>(%)
2023,dummy,Same crop,"County 20<br>Pasture, Seeded<br>Result:",23-SYU03-01,Farm 118,Ryan,SYU03,Field 01,1,County 20,"Pasture, Seeded",Silt Loam,-123,46,silt_%,53,physical,2,Silt,Silt,%,Silt <br>(%)
2023,dummy,Same crop,"County 7<br>Pasture, Seeded<br>Result:",23-BPW03-01,Farm 141,Wesley,BPW03,Field 01,1,County 7,"Pasture, Seeded",Sandy Loam,-123,47,silt_%,28,physical,2,Silt,Silt,%,Silt <br>(%)
2023,dummy,Same crop,County 21<br>Hay/Silage<br>Result:,23-DOK01-01,Farm 122,Dennis,DOK01,Field 01,1,County 21,Hay/Silage,Sandy Loam,-119,48,silt_%,26,physical,2,Silt,Silt,%,Silt <br>(%)
2022,dummy,Same crop,County 4<br>Hay/Silage<br>Result:,22-HGE09-01,Farm 017,Brittany,HGE09,Field 01,1,County 4,Hay/Silage,Loamy Sand,-123,48,silt_%,23,physical,2,Silt,Silt,%,Silt <br>(%)
2022,dummy,Same crop,County 14<br>Hay/Silage<br>Result:,22-ZML04-03,Farm 096,Eduardo,ZML04,Field 03,3,County 14,Hay/Silage,Silt Loam,-117,47,silt_%,61,physical,2,Silt,Silt,%,Silt <br>(%)
2023,dummy,Same crop,County 10<br>Hay/Silage<br>Result:,23-GUZ01-03,Farm 046,Mariah,GUZ01,Field 03,3,County 10,Hay/Silage,Silty Clay Loam,-117,48,silt_%,44,physical,2,Silt,Silt,%,Silt <br>(%)
2022,dummy,Same crop,County 17<br>Hay/Silage<br>Result:,22-BBH06-01,Farm 078,Ian,BBH06,Field 01,1,County 17,Hay/Silage,Loam,-118,49,silt_%,45,physical,2,Silt,Silt,%,Silt <br>(%)
2022,dummy,Same crop,"County 7<br>Pasture, Seeded<br>Result:",22-REM03-02,Farm 031,Valeria,REM03,Field 02,2,County 7,"Pasture, Seeded",Silt Loam,-123,47,silt_%,53,physical,2,Silt,Silt,%,Silt <br>(%)
2022,dummy,Same crop,"County 7<br>Pasture, Seeded<br>Result:",22-LPY02-03,Farm 030,Ghaalib,LPY02,Field 03,3,County 7,"Pasture, Seeded",Silt Loam,-123,46,silt_%,66,physical,2,Silt,Silt,%,Silt <br>(%)
2023,dummy,Same crop,County 15<br>Hay/Silage<br>Result:,23-KQD07-02,Farm 064,Callie,KQD07,Field 02,2,County 15,Hay/Silage,Loam,-118,48,silt_%,48,physical,2,Silt,Silt,%,Silt <br>(%)
2023,dummy,Same crop,"County 9<br>Pasture, Seeded<br>Result:",23-PRK03-03,Farm 043,Christopher,PRK03,Field 03,3,County 9,"Pasture, Seeded",Loamy Sand,-120,48,silt_%,16,physical,2,Silt,Silt,%,Silt <br>(%)
2023,dummy,Same crop,"County 14<br>Pasture, Seeded<br>Result:",23-VQC06-01,Farm 178,Allison,VQC06,Field 01,1,County 14,"Pasture, Seeded",Loam,-118,47,silt_%,44,physical,2,Silt,Silt,%,Silt <br>(%)
2023,dummy,Same crop,"County 10<br>Pasture, Seeded<br>Result:",23-KCC03-01,Farm 152,Alejandra,KCC03,Field 01,1,County 10,"Pasture, Seeded",Loam,-117,48,silt_%,42,physical,2,Silt,Silt,%,Silt <br>(%)
2022,dummy,Same crop,County 10<br>Hay/Silage<br>Result:,22-VTR04-02,Farm 045,Destiny,VTR04,Field 02,2,County 10,Hay/Silage,Silt Loam,-117,48,silt_%,65,physical,2,Silt,Silt,%,Silt <br>(%)
2022,dummy,Same crop,"County 8<br>Pasture, Seeded<br>Result:",22-QCJ09-03,Farm 035,Brianna,QCJ09,Field 03,3,County 8,"Pasture, Seeded",Loam,-123,47,silt_%,42,physical,2,Silt,Silt,%,Silt <br>(%)
2022,dummy,Same crop,"County 17<br>Pasture, Seeded<br>Result:",22-LJP05-03,Farm 077,Fernando,LJP05,Field 03,3,County 17,"Pasture, Seeded",Sandy Loam,-118,48,silt_%,26,physical,2,Silt,Silt,%,Silt <br>(%)
2023,dummy,Your fields,Result:,23-WUY05-01,Farm 150,Shanna,WUY05,Field 01,1,County 9,Hay/Silage,Loamy Sand,-119,49,silt_%,23,physical,2,Silt,Silt,%,Silt <br>(%)
2023,dummy,Your fields,Result:,23-WUY05-03,Farm 150,Shanna,WUY05,Field 03,3,County 9,"Pasture, Seeded",Sandy Loam,-119,49,silt_%,33,physical,2,Silt,Silt,%,Silt <br>(%)
2022,dummy,Other fields,Result:,22-RHM05-02,Farm 085,Warren,RHM05,Field 02,2,County 18,Green Manure,Sandy Loam,-123,47,clay_%,10,physical,3,Clay,Clay,%,Clay <br>(%)
2022,dummy,Other fields,Result:,22-ENR07-02,Farm 058,Alecia,ENR07,Field 02,2,County 11,Vegetable,Silt Loam,-122,47,clay_%,10,physical,3,Clay,Clay,%,Clay <br>(%)
2022,dummy,Other fields,Result:,22-ZTD04-03,Farm 061,Samantha,ZTD04,Field 03,3,County 13,Herb,Silt Loam,-120,46,clay_%,13,physical,3,Clay,Clay,%,Clay <br>(%)
2022,dummy,Other fields,Result:,22-BKG08-02,Farm 107,Majdiyya,BKG08,Field 02,2,County 14,Cereal Grain,Silt Loam,-117,47,clay_%,14,physical,3,Clay,Clay,%,Clay <br>(%)
2023,dummy,Other fields,Result:,23-VAY01-01,Farm 160,Greydi,VAY01,Field 01,1,County 17,Native Land,Loamy Sand,-118,49,clay_%,4,physical,3,Clay,Clay,%,Clay <br>(%)
2022,dummy,Other fields,Result:,22-UPD03-02,Farm 070,Faith,UPD03,Field 02,2,County 14,Vegetable,Silt Loam,-117,47,clay_%,21,physical,3,Clay,Clay,%,Clay <br>(%)
2023,dummy,Other fields,Result:,23-VWK08-01,Farm 157,Gregory,VWK08,Field 01,1,County 23,Vegetable,Sandy Loam,-123,48,clay_%,12,physical,3,Clay,Clay,%,Clay <br>(%)
2022,dummy,Other fields,Result:,22-WBI03-01,Farm 049,Ronald,WBI03,Field 01,1,County 10,Native Land,Loam,-117,48,clay_%,7,physical,3,Clay,Clay,%,Clay <br>(%)
2023,dummy,Other fields,Result:,23-NFO07-01,Farm 116,Tyler,NFO07,Field 01,1,County 20,Forest,Loamy Sand,-123,46,clay_%,6,physical,3,Clay,Clay,%,Clay <br>(%)
2022,dummy,Other fields,Result:,22-PUN05-01,Farm 036,Madeeha,PUN05,Field 01,1,County 8,Commercial Tree,Sandy Loam,-123,47,clay_%,4,physical,3,Clay,Clay,%,Clay <br>(%)
2023,dummy,Other fields,Result:,23-RDQ08-02,Farm 136,Zachery,RDQ08,Field 02,2,County 7,Commercial Tree,Silt Loam,-123,47,clay_%,10,physical,3,Clay,Clay,%,Clay <br>(%)
2022,dummy,Other fields,Result:,22-IOX04-08,Farm 060,Alisa,IOX04,Field 08,8,County 13,Herb,Silt Loam,-121,46,clay_%,13,physical,3,Clay,Clay,%,Clay <br>(%)
2022,dummy,Other fields,Result:,22-HAO03-02,Farm 084,Brandi,HAO03,Field 02,2,County 18,Native Land,Loam,-123,47,clay_%,16,physical,3,Clay,Clay,%,Clay <br>(%)
2023,dummy,Other fields,Result:,23-HDQ07-01,Farm 158,Phayd,HDQ07,Field 01,1,County 23,Berry,Sandy Loam,-123,49,clay_%,16,physical,3,Clay,Clay,%,Clay <br>(%)
2022,dummy,Other fields,Result:,22-COZ08-04,Farm 063,Nickolas,COZ08,Field 04,4,County 14,Vegetable,Silt Loam,-117,47,clay_%,21,physical,3,Clay,Clay,%,Clay <br>(%)
2023,dummy,Other fields,Result:,23-TKR05-01,Farm 167,Blair,TKR05,Field 01,1,County 19,Berry,Sandy Loam,-122,49,clay_%,3,physical,3,Clay,Clay,%,Clay <br>(%)
2023,dummy,Other fields,Result:,23-OCA05-02,Farm 124,Logan,OCA05,Field 02,2,County 21,Native Land,Sandy Loam,-119,49,clay_%,6,physical,3,Clay,Clay,%,Clay <br>(%)
2023,dummy,Other fields,Result:,23-DHQ03-01,Farm 180,Steven,DHQ03,Field 01,1,County 13,Orchard,Silt Loam,-120,46,clay_%,12,physical,3,Clay,Clay,%,Clay <br>(%)
2023,dummy,Other fields,Result:,23-GMI09-03,Farm 145,Kelly,GMI09,Field 03,3,County 15,Fallow,Silt Loam,-118,48,clay_%,13,physical,3,Clay,Clay,%,Clay <br>(%)
2022,dummy,Other fields,Result:,22-IQK02-01,Farm 018,Abdul Waahid,IQK02,Field 01,1,County 4,Vegetable,Sandy Loam,-123,48,clay_%,8,physical,3,Clay,Clay,%,Clay <br>(%)
2023,dummy,Other fields,Result:,23-GST07-02,Farm 173,Nadiya,GST07,Field 02,2,County 14,CRP/Conservation,Loam,-118,47,clay_%,16,physical,3,Clay,Clay,%,Clay <br>(%)
2023,dummy,Other fields,Result:,23-PJP06-05,Farm 164,Marcel,PJP06,Field 05,5,County 24,Fallow,Silt Loam,-118,46,clay_%,10,physical,3,Clay,Clay,%,Clay <br>(%)
2022,dummy,Other fields,Result:,22-SNO01-02,Farm 048,Josephine,SNO01,Field 02,2,County 10,Native Land,Sandy Loam,-117,48,clay_%,7,physical,3,Clay,Clay,%,Clay <br>(%)
2022,dummy,Other fields,Result:,22-WBI03-02,Farm 049,Ronald,WBI03,Field 02,2,County 10,Native Land,Silt Loam,-117,48,clay_%,12,physical,3,Clay,Clay,%,Clay <br>(%)
2022,dummy,Other fields,Result:,22-OSE06-02,Farm 095,Rion,OSE06,Field 02,2,County 14,Cereal Grain,Silt Loam,-117,47,clay_%,23,physical,3,Clay,Clay,%,Clay <br>(%)
2022,dummy,Other fields,Result:,22-EHJ01-02,Farm 038,Aileen,EHJ01,Field 02,2,County 8,Vegetable,Loamy Sand,-123,47,clay_%,4,physical,3,Clay,Clay,%,Clay <br>(%)
2022,dummy,Other fields,Result:,22-LPY02-01,Farm 030,Ghaalib,LPY02,Field 01,1,County 7,Cereal Grain,Silt Loam,-123,47,clay_%,24,physical,3,Clay,Clay,%,Clay <br>(%)
2022,dummy,Other fields,Result:,22-IDX04-04,Farm 033,Henry,IDX04,Field 04,4,County 8,Vegetable,Silt Loam,-123,47,clay_%,12,physical,3,Clay,Clay,%,Clay <br>(%)
2022,dummy,Other fields,Result:,22-BOA05-03,Farm 012,Mufeed,BOA05,Field 03,3,County 2,CRP/Conservation,Loam,-120,48,clay_%,9,physical,3,Clay,Clay,%,Clay <br>(%)
2023,dummy,Other fields,Result:,23-UVF07-03,Farm 121,Adolfo,UVF07,Field 03,3,County 21,Fallow,Sandy Loam,-118,49,clay_%,6,physical,3,Clay,Clay,%,Clay <br>(%)
2022,dummy,Other fields,Result:,22-SWA09-01,Farm 104,Aamir,SWA09,Field 01,1,County 14,Fallow,Silt Loam,-117,47,clay_%,20,physical,3,Clay,Clay,%,Clay <br>(%)
2023,dummy,Other fields,Result:,23-VXE09-01,Farm 143,Karla,VXE09,Field 01,1,County 15,Fallow,Silt Loam,-119,48,clay_%,10,physical,3,Clay,Clay,%,Clay <br>(%)
2023,dummy,Other fields,Result:,23-XXY09-01,Farm 117,Jo,XXY09,Field 01,1,County 20,Fallow,Clay Loam,-123,46,clay_%,28,physical,3,Clay,Clay,%,Clay <br>(%)
2022,dummy,Other fields,Result:,22-EUB06-01,Farm 059,Andrew,EUB06,Field 01,1,County 12,Herb,Loam,-120,46,clay_%,9,physical,3,Clay,Clay,%,Clay <br>(%)
2022,dummy,Other fields,Result:,22-IOX04-04,Farm 060,Alisa,IOX04,Field 04,4,County 13,Herb,Clay Loam,-121,46,clay_%,25,physical,3,Clay,Clay,%,Clay <br>(%)
2022,dummy,Other fields,Result:,22-IDX04-01,Farm 033,Henry,IDX04,Field 01,1,County 8,Orchard,Silt Loam,-123,47,clay_%,13,physical,3,Clay,Clay,%,Clay <br>(%)
2022,dummy,Other fields,Result:,22-BOA05-05,Farm 012,Mufeed,BOA05,Field 05,5,County 2,CRP/Conservation,Sandy Loam,-120,48,clay_%,8,physical,3,Clay,Clay,%,Clay <br>(%)
2022,dummy,Other fields,Result:,22-CKY09-01,Farm 020,Sky,CKY09,Field 01,1,County 5,Fallow,Sandy Loam,-122,48,clay_%,6,physical,3,Clay,Clay,%,Clay <br>(%)
2022,dummy,Other fields,Result:,22-AUL06-02,Farm 005,Qamraaa,AUL06,Field 02,2,County 1,Orchard,Clay Loam,-122,46,clay_%,27,physical,3,Clay,Clay,%,Clay <br>(%)
2022,dummy,Other fields,Result:,22-XAA04-01,Farm 065,Michael,XAA04,Field 01,1,County 16,Vegetable,Silt Loam,-117,47,clay_%,21,physical,3,Clay,Clay,%,Clay <br>(%)
2022,dummy,Other fields,Result:,22-RUX09-02,Farm 092,Nika,RUX09,Field 02,2,County 19,CRP/Conservation,Sandy Loam,-122,49,clay_%,8,physical,3,Clay,Clay,%,Clay <br>(%)
2022,dummy,Other fields,Result:,22-IOX04-06,Farm 060,Alisa,IOX04,Field 06,6,County 13,Herb,Silt Loam,-121,46,clay_%,19,physical,3,Clay,Clay,%,Clay <br>(%)
2022,dummy,Other fields,Result:,22-KQD07-01,Farm 064,Callie,KQD07,Field 01,1,County 15,Vegetable,Silt Loam,-118,47,clay_%,14,physical,3,Clay,Clay,%,Clay <br>(%)
2022,dummy,Other fields,Result:,22-AYH08-03,Farm 069,Maariya,AYH08,Field 03,3,County 14,Vegetable,Silt Loam,-117,47,clay_%,20,physical,3,Clay,Clay,%,Clay <br>(%)
2023,dummy,Other fields,Result:,23-PJP06-03,Farm 164,Marcel,PJP06,Field 03,3,County 24,Fallow,Silt Loam,-118,46,clay_%,10,physical,3,Clay,Clay,%,Clay <br>(%)
2022,dummy,Other fields,Result:,22-NCF09-04,Farm 003,Bryan,NCF09,Field 04,4,County 1,Orchard,Silt Loam,-123,46,clay_%,10,physical,3,Clay,Clay,%,Clay <br>(%)
2022,dummy,Other fields,Result:,22-CAW02-01,Farm 073,Zachary,CAW02,Field 01,1,County 16,Vegetable,Loam,-117,48,clay_%,15,physical,3,Clay,Clay,%,Clay <br>(%)
2022,dummy,Other fields,Result:,22-ECZ09-01,Farm 040,Katherine,ECZ09,Field 01,1,County 8,Vegetable,Sandy Loam,-123,47,clay_%,4,physical,3,Clay,Clay,%,Clay <br>(%)
2023,dummy,Other fields,Result:,23-XXY09-02,Farm 117,Jo,XXY09,Field 02,2,County 20,Fallow,Sandy Loam,-123,46,clay_%,14,physical,3,Clay,Clay,%,Clay <br>(%)
2023,dummy,Other fields,Result:,23-UGI08-04,Farm 105,Mutasim,UGI08,Field 04,4,County 14,Cereal Grain,Sandy Clay Loam,-117,47,clay_%,20,physical,3,Clay,Clay,%,Clay <br>(%)
2022,dummy,Other fields,Result:,22-GWT01-06,Farm 014,Coramarie,GWT01,Field 06,6,County 4,Orchard,Clay,-123,48,clay_%,34,physical,3,Clay,Clay,%,Clay <br>(%)
2023,dummy,Other fields,Result:,23-IOA02-02,Farm 166,Aaron,IOA02,Field 02,2,County 19,Berry,Silt Loam,-122,49,clay_%,6,physical,3,Clay,Clay,%,Clay <br>(%)
2023,dummy,Other fields,Result:,23-AWK04-02,Farm 138,Muthanna,AWK04,Field 02,2,County 7,Cereal Grain,Loam,-123,47,clay_%,10,physical,3,Clay,Clay,%,Clay <br>(%)
2022,dummy,Other fields,Result:,22-REY04-04,Farm 062,Thaamir,REY04,Field 04,4,County 13,Herb,Loam,-120,46,clay_%,18,physical,3,Clay,Clay,%,Clay <br>(%)
2022,dummy,Other fields,Result:,22-TKY01-01,Farm 019,Hayden,TKY01,Field 01,1,County 4,Seed,Sandy Loam,-123,48,clay_%,8,physical,3,Clay,Clay,%,Clay <br>(%)
2023,dummy,Other fields,Result:,23-CLA01-01,Farm 174,Joaquin,CLA01,Field 01,1,County 14,Vegetable,Loam,-118,47,clay_%,12,physical,3,Clay,Clay,%,Clay <br>(%)
2022,dummy,Other fields,Result:,22-KPB08-02,Farm 025,Sadyan,KPB08,Field 02,2,County 6,Native Land,Loam,-121,46,clay_%,10,physical,3,Clay,Clay,%,Clay <br>(%)
2022,dummy,Other fields,Result:,22-TNM05-01,Farm 001,Sahar,TNM05,Field 01,1,County 1,Vegetable,Clay Loam,-122,46,clay_%,35,physical,3,Clay,Clay,%,Clay <br>(%)
2023,dummy,Other fields,Result:,23-XMT07-02,Farm 109,Amal,XMT07,Field 02,2,County 14,CRP/Conservation,Loam,-117,47,clay_%,18,physical,3,Clay,Clay,%,Clay <br>(%)
